name,population_code,population_latitude,population_longitude,site_name,survey_date,maternal_number,comments
Penstemon laevigatus,6026,35.634526,-77.479731,West Research Campus: East Carolina University,2013-08-26,32,
Andropogon gerardi,6055,35.085,-83.61765,Buck Creek Serpentine Barrens,2013-11-13,95,
Schizachyrium scoparium,6056,36.021678,-78.979841,Duke Forest,2013-11-14,100,
Schizachyrium scoparium,6057,36.028691,-78.986263,Duke Forest,2013-11-13,74,
Sorghastrum nutans,6058,36.004068,-78.989415,Duke Forest,2013-11-14,62,
Andropogon gerardi,4021,44.25781,-100.33882,Ft. Pierre National Grassland,2013-09-25,200,
Andropogon gerardi,4023,44.19073,-100.81255,Ft. Pierre National Grassland,2013-09-26,200,
Echinacea pallida,4022,44.25755,-100.33961,Ft. Pierre National Grassland,2013-09-25,100,
Echinacea pallida,4024,44.1898,-100.40965,Ft. Pierre National Grassland,2013-09-26,116,
Penstemon digitalis,3000,40.5250842,-94.1259086,Dunn Ranch Prairie,2013-09-29,100,
Penstemon digitalis,3003,38.8653449,-92.3221482,Rock Bridge State Park,2013-08-30,100,
Penstemon digitalis,3002,38.865938,-92.3294558,Rock Bridge State Park,2013-08-30,100,
Linum sulcatum,3004,37.5243671,-94.5704707,Prairie State Park,2013-08-31,71,
Amorpha canescens,3005,37.5269159,-94.5697411,Prairie State Park,2013-08-31,100,
Linum sulcatum,3006,37.5081217,-94.532432,Prairie State Park,2013-08-31,200,
Penstemon digitalis,3007,37.9457241,-91.173374,Reis Biological Station,2013-09-01,100,
Helianthus mollis,3010,40.971922,-90.097423,Green Oaks Biological Field Station,2013-09-03,100,
Helianthus mollis,3009,40.97412941,-90.0878827,Green Oaks Biological Field Station,2013-09-03,100,
Impatiens capensis,3015,41.8409943,-88.2645572,Fermi National Accelerator Laboratory,2013-09-17,200,
Helianthus mollis,3016,41.3474648,-88.3093169,Goose Lake Prairie State Park,2013-09-18,49,
Helianthus mollis,3017,41.3607739,-88.3114881,Goose Lake Prairie State Park,2013-09-18,100,
Bouteloua curtipendula,3021,41.8745115,-89.3461368,Nachusa Grasslands,2013-09-19,100,
Echinacea pallida,3018,41.8889774,-89.3530334,Nachusa Grasslands,2013-09-19,200,
Amorpha canescens,3019,41.8889774,-89.3530334,Nachusa Grasslands,2013-09-19,100,Average of maternal plant used instead of seed/fruit.
Echinacea pallida,3024,40.874405,-89.3459096,Nachusa Grasslands,2013-09-20,200,
Amorpha canescens,5994,38.180514,-95.259569,Anderson County Prairie,2013-08-29,100,
Bouteloua curtipendula,3022,41.8968916,-89.3642512,Nachusa Grasslands,2013-09-20,100,
Amorpha canescens,3023,41.8968916,-89.3642512,Nachusa Grasslands,2013-09-20,100,Average maternal line was used instead of average seeds/fruit.
Penstemon digitalis,3025,41.8961864,-89.3523626,Nachusa Grasslands,2013-09-21,100,
Amorpha canescens,3027,40.3721442,-91.3921386,Alice L. Kibbe Life Science Research Station,2013-09-22,57,Average per maternal line was used instead of average seed/fruit
Amorpha canescens,3026,40.3695721,-91.4072398,Alice L. Kibbe Life Science Research Station,2013-09-22,100,Average per maternal line was used instead of average seed/fruit
Helianthus mollis,3029,37.5064888,-94.5268707,Prairie State Park,2013-09-23,100,
Helianthus mollis,3028,37.5258074,-94.5706311,Prairie State Park,2013-09-23,100,
